Model_1,Model_2,Recognition_accuracy,Is_Same_Model,Total_samples,Valid_samples,Valid_percentage
ChatGPT,ChatGPT,0.484,True,1000,519,0.519
ChatGPT,Claude,0.245,False,1000,608,0.608
ChatGPT,Grok,0.421,False,1000,553,0.553
ChatGPT,Gemini,0.518,False,1000,614,0.614
ChatGPT,Llama,0.234,False,1000,546,0.546
ChatGPT,Deepseek,0.386,False,1000,590,0.59
Claude,ChatGPT,0.56,False,1000,800,0.8
Claude,Claude,0.602,True,1000,784,0.784
Claude,Grok,0.519,False,1000,796,0.796
Claude,Gemini,0.523,False,1000,747,0.747
Claude,Llama,0.582,False,1000,730,0.73
Claude,Deepseek,0.56,False,1000,773,0.773
Grok,ChatGPT,0.55,False,1000,999,0.999
Grok,Claude,0.388,False,1000,1000,1.0
Grok,Grok,0.56,True,1000,1000,1.0
Grok,Gemini,0.417,False,1000,1000,1.0
Grok,Llama,0.349,False,1000,999,0.999
Grok,Deepseek,0.448,False,1000,1000,1.0
Gemini,ChatGPT,0.501,False,1000,1000,1.0
Gemini,Claude,0.488,False,1000,1000,1.0
Gemini,Grok,0.502,False,1000,1000,1.0
Gemini,Gemini,0.496,True,1000,999,0.999
Gemini,Llama,0.491,False,1000,1000,1.0
Gemini,Deepseek,0.495,False,1000,1000,1.0
Llama,ChatGPT,0.481,False,1000,1000,1.0
Llama,Claude,0.424,False,1000,1000,1.0
Llama,Grok,0.49,False,1000,1000,1.0
Llama,Gemini,0.357,False,1000,1000,1.0
Llama,Llama,0.364,True,1000,1000,1.0
Llama,Deepseek,0.491,False,1000,999,0.999
Deepseek,ChatGPT,0.481,False,944,944,1.0
Deepseek,Claude,0.426,False,944,944,1.0
Deepseek,Grok,0.488,False,944,944,1.0
Deepseek,Gemini,0.504,False,944,944,1.0
Deepseek,Llama,0.383,False,944,943,0.999
Deepseek,Deepseek,0.446,True,944,944,1.0
