prompt,model_of_original_prompt,order,iteration,prompt_length,step1_story_prompt_with_prefix,full_prompt_length
Craft a story about a detective who solves mysteries in their dreams.,ChatGPT,8,20,69,Please write me a story in exactly 5 sentences: Craft a story about a detective who solves mysteries in their dreams.,117
Create a story about a library where every book can alter reality when read.,ChatGPT,10,11,76,Please write me a story in exactly 5 sentences: Create a story about a library where every book can alter reality when read.,124
A dystopian future where dreams are taxed by the government.,ChatGPT,9,18,60,Please write me a story in exactly 5 sentences: A dystopian future where dreams are taxed by the government.,108
"After a mysterious meteor shower, half of a small town gains supernatural abilities.",ChatGPT,5,12,84,"Please write me a story in exactly 5 sentences: After a mysterious meteor shower, half of a small town gains supernatural abilities.",132
"A character has a recurring dream about a place they’ve never been to, only to find out it exists.",ChatGPT,24,8,98,"Please write me a story in exactly 5 sentences: A character has a recurring dream about a place they’ve never been to, only to find out it exists.",146
Imagine a world where every person has a unique sound that follows them around.,ChatGPT,40,8,79,Please write me a story in exactly 5 sentences: Imagine a world where every person has a unique sound that follows them around.,127
A young child discovers they can communicate with animals and becomes a hero in their town.,ChatGPT,5,6,91,Please write me a story in exactly 5 sentences: A young child discovers they can communicate with animals and becomes a hero in their town.,139
A society where every citizen must pass a test to earn the right to vote.,ChatGPT,5,13,73,Please write me a story in exactly 5 sentences: A society where every citizen must pass a test to earn the right to vote.,121
"In a quiet suburban neighborhood, all the pets begin to exhibit human-like intelligence.",ChatGPT,17,9,88,"Please write me a story in exactly 5 sentences: In a quiet suburban neighborhood, all the pets begin to exhibit human-like intelligence.",136
Tell a story about a character who finds a time capsule with a scary prediction.,ChatGPT,47,10,80,Please write me a story in exactly 5 sentences: Tell a story about a character who finds a time capsule with a scary prediction.,128
Create a story about an island that appears only once every hundred years.,ChatGPT,34,8,74,Please write me a story in exactly 5 sentences: Create a story about an island that appears only once every hundred years.,122
Write about a secret society that protects an ancient artifact.,ChatGPT,9,3,63,Please write me a story in exactly 5 sentences: Write about a secret society that protects an ancient artifact.,111
A group of friends camping in the woods find a buried chest that should have remained hidden.,ChatGPT,16,4,93,Please write me a story in exactly 5 sentences: A group of friends camping in the woods find a buried chest that should have remained hidden.,141
"A person wakes up with a tattoo they don’t remember getting, and it’s a clue to their forgotten past.",ChatGPT,36,12,101,"Please write me a story in exactly 5 sentences: A person wakes up with a tattoo they don’t remember getting, and it’s a clue to their forgotten past.",149
"A city where all the statues are actually petrified people, and one just came back to life.",ChatGPT,36,19,91,"Please write me a story in exactly 5 sentences: A city where all the statues are actually petrified people, and one just came back to life.",139
"A character can manipulate their luck, but for every bit of good luck, there must be equal bad luck.",ChatGPT,35,1,100,"Please write me a story in exactly 5 sentences: A character can manipulate their luck, but for every bit of good luck, there must be equal bad luck.",148
Write a story about a world where people are obligated to wear masks revealing their true emotions.,ChatGPT,37,3,99,Please write me a story in exactly 5 sentences: Write a story about a world where people are obligated to wear masks revealing their true emotions.,147
"Imagine a world where people age backwards, and write about the challenges two lovers face.",ChatGPT,23,10,91,"Please write me a story in exactly 5 sentences: Imagine a world where people age backwards, and write about the challenges two lovers face.",139
Craft a tale about a character trying to solve the mystery of their parent’s disappearance with the help of a mystical artifact.,ChatGPT,44,10,128,Please write me a story in exactly 5 sentences: Craft a tale about a character trying to solve the mystery of their parent’s disappearance with the help of a mystical artifact.,176
A world where music is forbidden and the underground movement to save it.,ChatGPT,20,13,73,Please write me a story in exactly 5 sentences: A world where music is forbidden and the underground movement to save it.,121
A character finds an old camera that takes pictures showing what happened at that spot exactly 100 years ago.,ChatGPT,15,1,109,Please write me a story in exactly 5 sentences: A character finds an old camera that takes pictures showing what happened at that spot exactly 100 years ago.,157
Imagine a character who can see both the past and the future but not the present.,ChatGPT,29,8,81,Please write me a story in exactly 5 sentences: Imagine a character who can see both the past and the future but not the present.,129
"In a world where people can trade lifespans, a young woman encounters someone with only one day left, hoping to trade.",ChatGPT,44,9,118,"Please write me a story in exactly 5 sentences: In a world where people can trade lifespans, a young woman encounters someone with only one day left, hoping to trade.",166
"A character is given a chance to relive a day from their childhood, but with adult awareness.",ChatGPT,44,1,93,"Please write me a story in exactly 5 sentences: A character is given a chance to relive a day from their childhood, but with adult awareness.",141
A society where everyone must decide at age 25 whether to live forever or live a normal lifespan with memories.,ChatGPT,51,18,111,Please write me a story in exactly 5 sentences: A society where everyone must decide at age 25 whether to live forever or live a normal lifespan with memories.,159
"A journal that writes a new, mysterious entry every morning.",ChatGPT,34,16,60,"Please write me a story in exactly 5 sentences: A journal that writes a new, mysterious entry every morning.",108
Describe a world where it rains something different every day.,ChatGPT,21,3,62,Please write me a story in exactly 5 sentences: Describe a world where it rains something different every day.,110
An amateur detective tries to solve the century-old mystery of a vanished village.,ChatGPT,4,9,82,Please write me a story in exactly 5 sentences: An amateur detective tries to solve the century-old mystery of a vanished village.,130
"Two strangers are the only passengers on a midnight train, but they discover they share a surprising connection.",ChatGPT,2,12,112,"Please write me a story in exactly 5 sentences: Two strangers are the only passengers on a midnight train, but they discover they share a surprising connection.",160
"During a severe drought, a mysterious well in a small village never runs dry.",ChatGPT,13,7,77,"Please write me a story in exactly 5 sentences: During a severe drought, a mysterious well in a small village never runs dry.",125
A detective from the future who solves historical mysteries.,ChatGPT,23,13,60,Please write me a story in exactly 5 sentences: A detective from the future who solves historical mysteries.,108
A detective is on the trail of a notorious thief who leaves cryptic poems at the scene of each crime.,ChatGPT,4,12,101,Please write me a story in exactly 5 sentences: A detective is on the trail of a notorious thief who leaves cryptic poems at the scene of each crime.,149
A character inherits a watch that can rewind time by one minute and decides to use it to solve a mystery.,ChatGPT,8,3,105,Please write me a story in exactly 5 sentences: A character inherits a watch that can rewind time by one minute and decides to use it to solve a mystery.,153
"A medieval village is shocked when a modern airplane crash lands nearby, bringing future technologies into their world.",ChatGPT,44,4,119,"Please write me a story in exactly 5 sentences: A medieval village is shocked when a modern airplane crash lands nearby, bringing future technologies into their world.",167
"A woman receives an antique mirror as a gift, only to find it shows a glimpse of alternate realities.",ChatGPT,26,15,101,"Please write me a story in exactly 5 sentences: A woman receives an antique mirror as a gift, only to find it shows a glimpse of alternate realities.",149
Imagine a future where memories can be transferred from one person to another. Tell a story about someone who experiences life through someone else's memories.,ChatGPT,2,20,159,Please write me a story in exactly 5 sentences: Imagine a future where memories can be transferred from one person to another. Tell a story about someone who experiences life through someone else's memories.,207
"In a world where dreams are purchasable and shareable, one dream becomes illegal for its addictive properties.",ChatGPT,5,15,110,"Please write me a story in exactly 5 sentences: In a world where dreams are purchasable and shareable, one dream becomes illegal for its addictive properties.",158
Write about a character who is the only person who remembers the internet after it suddenly vanishes.,ChatGPT,50,11,101,Please write me a story in exactly 5 sentences: Write about a character who is the only person who remembers the internet after it suddenly vanishes.,149
A group of children playing in the woods find a buried chest that contains a map leading to different eras.,ChatGPT,42,9,107,Please write me a story in exactly 5 sentences: A group of children playing in the woods find a buried chest that contains a map leading to different eras.,155
"At a high school reunion, a group of friends uncovers an old secret that changes everything they thought they knew.",ChatGPT,20,12,115,"Please write me a story in exactly 5 sentences: At a high school reunion, a group of friends uncovers an old secret that changes everything they thought they knew.",163
An artist who paints things that come to life.,ChatGPT,6,13,46,Please write me a story in exactly 5 sentences: An artist who paints things that come to life.,94
"A mysterious fog covers a small town, and within it, residents gain unusual powers.",ChatGPT,41,17,83,"Please write me a story in exactly 5 sentences: A mysterious fog covers a small town, and within it, residents gain unusual powers.",131
